process-ID ROW BLOCK MASTER
0 .7118 .8734 .6147
1 .5845 .9242 .4437
2 .7729 .9255 .4434
3 .5832 .9261 .4445
4 .7598 .9268 .4441
5 .5812 .9276 .4439
6 .7589 .9273 .4429
7 .5830 .9302 .4428
8 .7519 .9308 .4410
9 .5862 .9313 .4429
10 .7510 .9289 .4425
11 .5837 .9315 .4429
12 .7562 .9323 .4433
13 .5891 .9324 .4458
14 .7570 .9326 .4469
15 .5869 .9335 .4469
16 .7524 .9349 .4463
17 .5862 .9382 .4494
18 .7523 .9394 .4486
19 .5896 .9410 .4516
20 .7493 .9402 .4480
21 .5845 .9399 .4471
22 .7487 .9434 .4503
23 .5888 .9398 .4502
24 .7504 .9350 .4412
25 .5862 .9371 .4469
26 .7471 .9375 .4430
27 .5852 .9377 .4443
28 .7488 .9380 .4437
29 .5830 .9380 .4436
30 .7477 .9373 .4426
31 .5848 .9396 .4427
32 .7441 .9397 .4409
33 .7470 .9397 .4440
34 .7441 .9368 .4426
35 .7432 .9402 .4428
36 .7488 .9391 .4430
37 .7488 .9386 .4455
38 .7495 .9380 .4470
39 .7473 .9384 .4468
40 .7504 .9393 .4464
41 .7464 .9421 .4498
42 .7504 .9427 .4489
43 .7499 .9435 .4518
44 .7429 .9422 .4484
45 .7371 .9413 .4475
46 .7447 .9447 .4512
47 .7429 .9447 .4511
