#processes MASTER
1 -
2 14.37810
3 7.295600
4 5.038100
5 3.920680
6 3.267450
7 2.746900
8 2.447900
9 2.166711
10 1.970790
11 1.792936
12 1.638941
13 1.539484
14 1.448714
15 1.346833
16 1.269575
17 1.221652
18 1.166511
19 1.109836
20 1.059575
21 1.045038
22 1.003159
23 0.972491
24 0.936962
25 0.926096
26 0.911588
27 0.874648
28 0.845496
29 0.857365
30 0.837396
31 0.832800
32 0.787559
33 0.792072
34 0.788505
35 0.768948
36 0.767658
37 0.773462
38 0.762044
39 0.758297
40 0.738157
41 0.739382
42 0.743285
43 0.730395
44 0.728695
45 0.735760
46 0.724258
47 0.723857
48 0.708147
