#processes ROW BLOCK MASTER
1 13.95600 13.93690 -       
2 7.161500 10.10330 14.37810
3 5.014233 7.807866 7.295600
4 3.811050 6.842900 5.038100
5 3.303200 5.787380 3.920680
6 2.772550 5.894066 3.267450
7 2.532242 4.547585 2.746900
8 2.240400 5.075012 2.447900
9 2.100077 3.931066 2.166711
10 1.905010 4.239810 1.970790
11 1.771645 3.652190 1.792936
12 1.639033 3.593433 1.638941
13 1.555176 3.247584 1.539484
14 1.475557 3.142271 1.448714
15 1.403193 2.909813 1.346833
16 1.340550 2.772862 1.269575
17 1.322417 2.643217 1.221652
18 1.270394 2.511855 1.166511
19 1.238826 2.437536 1.109836
20 1.171290 2.273390 1.059575
21 1.166500 2.236190 1.045038
22 1.119572 2.085222 1.003159
23 1.099852 2.095013 0.972491
24 1.065829 1.903125 0.936962
25 1.049952 1.974612 0.926096
26 1.034926 1.829426 0.911588
27 1.003500 1.831281 0.874648
28 0.975539 1.726753 0.845496
29 0.986668 1.691803 0.857365
30 0.964866 1.659480 0.837396
31 0.953135 1.653309 0.832800
32 0.955318 1.580796 0.787559
33 0.969551 1.572836 0.792072
34 0.951347 1.553288 0.788505
35 0.941611 1.506440 0.768948
36 0.911238 1.471897 0.767658
37 0.908383 1.426151 0.773462
38 0.912505 1.433313 0.762044
39 0.882453 1.366446 0.758297
40 0.869840 1.369035 0.738157
41 0.880014 1.345992 0.739382
42 0.868692 1.339321 0.743285
43 0.863960 1.317955 0.730395
44 0.847513 1.284336 0.728695
45 0.877146 1.290595 0.735760
46 0.866284 1.271360 0.724258
47 0.864587 1.247000 0.723857
48 0.850639 1.213625 0.708147
