#processes static,1 dynamic guided auto MASTER
1 15.14110 14.47650 14.84770 14.67590 -
2 7.746800 7.471000 10.50550 10.66480 14.37810
3 5.132700 5.242900 7.306800 8.565300 7.295600
4 3.979400 3.953500 5.023100 7.499800 5.038100
5 3.256100 3.159300 5.131200 5.771300 3.920680
6 2.763600 2.729100 3.808500 5.631300 3.267450
7 2.366200 2.378600 3.425600 4.348600 2.746900
8 2.155400 2.114700 3.040100 4.814000 2.447900
9 1.913700 1.920000 2.739100 3.648800 2.166711
10 1.772300 1.736300 2.516200 3.954800 1.970790
11 1.619500 1.604200 2.266500 3.439900 1.792936
12 1.491400 1.445600 2.150800 3.390300 1.638941
13 1.384600 1.374200 2.052100 3.011800 1.539484
14 1.301000 1.259500 1.856400 3.007500 1.448714
15 1.228000 1.184400 1.774000 2.770900 1.346833
16 1.170400 1.126400 1.711300 2.731400 1.269575
17 1.107600 1.094800 1.581200 2.572300 1.221652
18 1.307200 0.996700 1.503100 2.412200 1.166511
19 0.975000 0.973600 1.483900 2.332900 1.109836
20 0.964900 0.975000 1.373400 2.250300 1.059575
21 0.961300 0.940800 1.333100 2.183100 1.045038
22 0.893000 0.893700 1.305000 2.029900 1.003159
23 0.928200 0.864200 1.216200 2.049700 0.972491
24 1.011500 0.825400 1.176700 1.868500 0.936962
